,chemical formula,supercell,phase,i,degeneracy,total energy [eV],ref. total energy [meV/f.u.],directory
2058,Hf29La2O63Si,222,29,235,1,-12839945.354121301,4.853275239467621,Hf29La2O63Si_sc222/No29/235
2059,Hf29La2O63Si,222,29,236,1,-12839943.5661045,61.31696367263794,Hf29La2O63Si_sc222/No29/236
2060,Hf29La2O63Si,222,29,237,1,-12839944.4932915,32.03737419843674,Hf29La2O63Si_sc222/No29/237
2061,Hf29La2O63Si,222,61,247,1,-12839945.658587199,-4.76143741607666,Hf29La2O63Si_sc222/No61/247
2062,Hf29La2O63Si,222,61,248,1,-12839945.993105099,-15.325160503387453,Hf29La2O63Si_sc222/No61/248
2063,Hf29La2O63Si,222,61,249,1,-12839945.4315925,2.406816363334656,Hf29La2O63Si_sc222/No61/249
2064,Hf29La2O63Si,222,61,250,1,-12839945.8722523,-11.508756399154663,Hf29La2O63Si_sc222/No61/250
2065,Hf29La2O63Si,222,61,251,1,-12839944.5781538,29.35751211643219,Hf29La2O63Si_sc222/No61/251
2066,Hf29La2O63Si,222,61,252,1,-12839945.5971251,-2.8205289244651794,Hf29La2O63Si_sc222/No61/252
2067,Hf29La2O63Si,222,14,259,1,-12839945.125936698,12.05910474061966,Hf29La2O63Si_sc222/No14/259
2068,Hf29La2O63Si,222,14,260,1,-12839944.434554,33.892242670059204,Hf29La2O63Si_sc222/No14/260
2069,Hf29La2O63Si,222,14,261,1,-12839945.715118699,-6.546642601490022,Hf29La2O63Si_sc222/No14/261
2070,Hf29La2O63Si,222,14,262,1,-12839944.3188647,37.54558891057968,Hf29La2O63Si_sc222/No14/262
2071,Hf29La2O63Si,222,14,263,1,-12839944.8257803,21.537727892398834,Hf29La2O63Si_sc222/No14/263
2072,Hf29La2O63Si,222,14,264,1,-12839944.350064,36.56034791469575,Hf29La2O63Si_sc222/No14/264
2073,Hf29La2O63Si,222,29,238,1,-12839945.2127427,9.317862570285797,Hf29La2O63Si_sc222/No29/238
2074,Hf29La2O63Si,222,29,239,1,-12839944.8955197,19.335431039333344,Hf29La2O63Si_sc222/No29/239
2075,Hf29La2O63Si,222,29,240,1,-12839945.366001599,4.478107929229736,Hf29La2O63Si_sc222/No29/240
2076,Hf29La2O63Si,222,29,241,1,-12839944.1882479,41.670329988002784,Hf29La2O63Si_sc222/No29/241
2077,Hf29La2O63Si,222,29,242,1,-12839944.9071603,18.967833101749424,Hf29La2O63Si_sc222/No29/242
2078,Hf29La2O63Si,222,29,243,1,-12839944.4023791,34.90829211473465,Hf29La2O63Si_sc222/No29/243
2079,Hf29La2O63Si,222,61,253,1,-12839945.7295059,-7.00097531080246,Hf29La2O63Si_sc222/No61/253
2080,Hf29La2O63Si,222,61,254,1,-12839945.1169871,12.341723680496216,Hf29La2O63Si_sc222/No61/254
2081,Hf29La2O63Si,222,61,255,1,-12839945.9381209,-13.588817417621613,Hf29La2O63Si_sc222/No61/255
2082,Hf29La2O63Si,222,61,256,1,-12839944.9947059,16.20323520898819,Hf29La2O63Si_sc222/No61/256
2083,Hf29La2O63Si,222,61,257,1,-12839945.1155756,12.386297345161438,Hf29La2O63Si_sc222/No61/257
2084,Hf29La2O63Si,222,61,258,1,-12839944.9334179,18.138645827770237,Hf29La2O63Si_sc222/No61/258
2085,Hf29La2O63Si,222,14,265,1,-12839945.414153399,2.9575247168540955,Hf29La2O63Si_sc222/No14/265
2086,Hf29La2O63Si,222,14,266,1,-12839944.8993506,19.214455187320713,Hf29La2O63Si_sc222/No14/266
2087,Hf29La2O63Si,222,14,267,1,-12839946.494216,-31.14971530437469,Hf29La2O63Si_sc222/No14/267
2088,Hf29La2O63Si,222,14,268,1,-12839944.8108399,22.009530007839203,Hf29La2O63Si_sc222/No14/268
2089,Hf29La2O63Si,222,14,269,1,-12839945.0267407,15.191610038280489,Hf29La2O63Si_sc222/No14/269
2090,Hf29La2O63Si,222,14,270,1,-12839944.6041438,28.536775290966034,Hf29La2O63Si_sc222/No14/270
2091,Hf29La2O63Si,222,29,244,1,-12839945.1676631,10.741428911685944,Hf29La2O63Si_sc222/No29/244
2092,Hf29La2O63Si,222,29,245,1,-12839944.7773379,23.067487955093387,Hf29La2O63Si_sc222/No29/245
